Year,Value,
2014,,95.68
2014,water ,98.70
2014,Sanitation ,93.50
2014,Refuse disposal ,92.20
2014,Energy source ,98.30
2015,,94.85
2015,water ,96.30
2015,Sanitation ,91.80
2015,Refuse disposal ,94.60
2015,Energy source ,96.70
2016,,94.08
2016,water ,95.70
2016,Sanitation ,92.40
2016,Refuse disposal ,96.50
2016,Energy source ,91.70
2017,,93.90
2017,water ,95.40
2017,Sanitation ,92.00
2017,Refuse disposal ,96.50
2017,Energy source ,91.70
2018,,94.33
2018,water ,96.10
2018,Sanitation ,92.40
2018,Refuse disposal ,95.50
2018,Energy source ,93.30
2018,,94.60
2019,water ,98.90
2019,Sanitation ,95.50
2019,Refuse disposal ,95.30
2019,Energy source ,88.70
