Year,Prevelance of undernourishment,Value
2014,Never,39.2
2014,Seldom/Sometimes,8.5
2014,Often/Always,4.5
2014,Not applicable,46.9
2014,Unspecified,1.0
2015,Never,38.0
2015,Seldom/Sometimes,10.0
2015,Often/Always,3.6
2015,Not applicable,47.9
2015,Unspecified,0.5
2016,Never,37.4
2016,Seldom/Sometimes,10.1
2016,Often/Always,3.8
2016,Not applicable,48.2
2016,Unspecified,0.5
2017,Never,38.9
2017,Seldom/Sometimes,9.3
2017,Often/Always,2.4
2017,Not applicable,49.1
2017,Unspecified,0.2
2018,Never,40.4
2018,Seldom/Sometimes,10.6
2018,Often/Always,1.8
2018,Not applicable,46.8
2018,Unspecified,0.4
2019,Never,47.18
2019,Seldom/Sometimes,11.58
2019,Often/Always,1.5
2019,Not applicable,39.67
2019,Unspecified,0.07
